story_id,Iteration,isComplaint_C1,engagement_C1,organisationalLearning_C1,isComplaint_C2,engagement_C2,organisationalLearning_C2
358,Iteration_1,1,0,0,1,0,0
360,Iteration_1,1,2,0,1,2,0
115,Iteration_1,1,1,0,1,2,0
407,Iteration_1,1,0,0,1,0,0
60,Iteration_1,1,1,0,1,1,0
167,Iteration_1,1,2,0,1,2,0
396,Iteration_1,1,2,0,1,2,0
124,Iteration_1,1,0,0,1,0,0
159,Iteration_1,1,2,0,1,3,0
196,Iteration_1,1,0,0,1,0,0
183,Iteration_1,1,1,0,1,2,0
201,Iteration_1,1,0,0,1,0,0
32,Iteration_1,1,2,0,1,2,1
306,Iteration_1,1,1,0,1,1,0
79,Iteration_1,1,1,0,1,1,0
182,Iteration_1,1,0,0,1,0,0
130,Iteration_1,1,3,0,1,3,1
320,Iteration_1,1,2,0,1,3,1
107,Iteration_1,1,3,0,1,3,0
443,Iteration_1,1,0,0,1,0,0
448,Iteration_2,1,0,0,1,0,0
287,Iteration_2,1,0,0,1,0,0
427,Iteration_2,1,0,0,1,0,0
349,Iteration_2,1,1,0,1,1,0
422,Iteration_2,1,0,0,1,0,0
7,Iteration_2,1,2,0,1,2,0
154,Iteration_2,1,2,0,1,2,0
254,Iteration_2,1,0,0,1,0,0
143,Iteration_2,1,0,0,1,0,0
132,Iteration_2,1,0,0,1,0,0
261,Iteration_2,1,2,0,1,2,0
49,Iteration_2,1,1,0,1,1,0
412,Iteration_2,1,2,0,1,2,1
96,Iteration_2,1,1,1,1,2,1
354,Iteration_2,1,2,0,1,2,0
82,Iteration_2,1,2,0,1,2,0
72,Iteration_2,1,1,0,1,0,0
151,Iteration_2,1,2,0,1,2,0
347,Iteration_2,1,0,0,1,0,0
179,Iteration_2,1,2,0,1,1,0
169,Iteration_2,1,2,0,1,0,0
270,Iteration_2,1,0,0,1,0,0
368,Iteration_2,1,0,0,1,0,0
162,Iteration_2,1,0,0,1,1,0
346,Iteration_2,1,2,0,1,2,1
408,Iteration_2,1,0,0,1,0,0
330,Iteration_2,1,0,0,1,0,0
195,Iteration_2,1,2,1,1,2,1
103,Iteration_2,1,2,0,1,1,0
13,Iteration_2,1,1,0,1,1,0
389,Iteration_2,1,0,0,1,0,0
401,Iteration_2,1,2,0,1,2,0
228,Iteration_2,1,0,0,1,0,0
