story_id,title_text,story_text,resp_text,isComplaint_true,isComplaint_R1,isComplaint_R2,isComplaint_R3,engagement_true,engagement_R1,engagement_R2,engagement_R3,engagement_R4,engagement_R5,engagement_R6,engagement_R7,engagement_R8,organisationalLearning_true,organisationalLearning_R1,organisationalLearning_R2,organisationalLearning_R3,organisationalLearning_R4,organisationalLearning_R5,organisationalLearning_R6,organisationalLearning_R7,organisationalLearning_R8
43,appointment,"I have now been ring the surgery for the last two weeks to get an appointment,when I ring at eight in the morning phones are engaged if I finally get through the appointments have all gone.this surgery is an absolute joke I now have to go up to the local hospital to get sorted it could of been done at the surgery.more chance of raising the Titanic in the local Canal than getting an appointment at this surgery","Thank you for your feedback. I am sorry that you were not able to get an appointment when you wanted one. Because of the extra demands now being placed on General Practice, it is not always possible to get an appointment at the day and time however this information may assist you.
We book over 25% of the appointments in advance so you don't have to wait until the day to book. We have 5 incoming lines to the surgey and most patients all try to call at the same time so unfortuantely there will be times when the line is engaged, we just ask that you keep trying. We undertook a recent capacity and demand exercise to look at when patients call and are working to change the phone system to accommodate this and also ask patients who do not need an appointment to call after 10am to allow those that do to get through.
If you have access to a computer, please consider getting a user name and password from the surgery which will enable you to book online for the pre bookable appointments and this will give you a choice of days and times. Those patients that have these have fedback how great it is to book for later in the week or the the following week, even when the surgery is closed for answering the telephone. 2 forms of ID will be needed along with proof of address and an application form needs to be completed which we hold in reception. This also gives access to repeat prescription ordering and summary records or you can apply for access to see the coded entries in your medical record.
You are welcome to speak to the reception team, the team leader or myself about your experience and we will happy look at the individual case and review what happened on the day to prevent you form attending the hospital with something that you rightly point out could have been dealt with here.
As most comments are anonymous, we have not been able to identlfy you to disucss. We look forward to hearing from you",1,1,1,1,2,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
29,They work with you one to one,"I had a below knee amputation, it was a bit daunting going for my 1st appointment at WestMarc not knowing what to expect, all the staff there are great at looking after you and make you feel very welcome. They also work with you one to one giving you confidence and praise at every step.","Dear Jacwill,  rnThank for taking the time to post on Patient Opinion. I am pleased to read about the personal and supportive care that you received within WestMARC and more specifically by the Prosthetics team.  rnI will make sure that your kind words are shared with team who will be delighted to receive your positive feedback.  rnBest wishes  rnHeather McIntosh  rnOperational Services Manager",0,0,0,0,0,,,,,,,,,0,,,,,,,,
146,The staff have done so much for me,"The staff have done so much for me. I been in a week and the staff have gone above and beyond for me. The food is gorgeous, I have really enjoyed it. The cleanliness is brilliant, all the cleaners do a great job along with all the other staff. The communication has all been fine, everything's been grand.  
",Thanks for this feedback. I will ensure staff are made aware.  rnMany thanks  rnRosie  rnGynae ward manager,0,0,0,0,0,,,,,,,,,0,,,,,,,,
103,Inefficient ,"Too many doctors, extended hours but nobody to see you or call you within 2 weeks. These are unacceptable standards that need to be reviewed by the health authority. Being asked to call in the morning at 8am and then being told that it is fully booked it is utterly unacceptable.","Good afternoon, as you have posted this comment anonymously I unable to look into your concerns and see if we can facilitate a solution. Each day we have same day appointments with our GPs, Nurses, ANPs and Paramedics. We also have routine appointments available up to four weeks in advance. Please contact the Practice directly and ask to speak to Terresa Worden or Laura Bourne and as we would like to review your concerns. 

Kind Regards, 

Laura Bourne
Practice Manager",1,1,1,1,1,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,Unravelling the complex web.,"A very patient member of staff listened most carefully to a very complicated, multi layered case history, and was able to identify a number of small steps to manage some large gains. Thank you.","Many thanks indeed for your wonderful comments and taking the time to write in with such positive feedback. We will pass this on to the team who are always so grateful to know how appreciated they are, it does wonders for morale and keeps them going strong.
Very Best Regards
THE GLENLYN TEAM
",0,0,0,0,0,,,,,,,,,0,,,,,,,,
141,Utterly atrocious service,"As I am writing this my wife has now been on the phone for over an 90 minutes trying to speak to someone to get pain relief as she is undergoing cancer treatment. She has been number 2 in the queue for over 25 minutes! We have been with this practice for over 28 years and this practice has got worse over the years to the point where we are going to change practices. It has been going downhill for years but the introduction of the new anima app has been a total disaster. They know it's not working but persist with it. I pity the older people who need an appointment. I have been in the waiting room where they have actually recommend you go to A & E.
If you are thinking of joining this practice - avoid! ","Thank you for taking the time to post your review here on the NHS website. We welcome any and all comments from our patients and would therefore value the opportunity to discuss this with you directly; by sharing your experience with us, we can look to improve our service for all our patients. If this is something you would like to do, please contact your practice directly and ask to speak with the Duty Manager, telling them this is in response to a comment posted to the NHS website.",1,1,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,Phones on hold for ages,"We received texts to book blood test appointments in Hamerton hospital. Blood tests usually need a referral indicating what tests to be performed, and then you go to the test centers walk-in. Never heard before about such appointments. When tried to call the GP, was 20 minutes on hold and still 5th in queue. Not wanting to stay there for days, I quitted! The worst service ever!","Dear Anonymous. Unfortunately have any patient details for you I can not look into your record. You are quite right that if a patient has been requested to go for a blood test at Homerton the patient will need a blood test form, was the form attached to your text message? Was you asked to come to the practice to collect the form?I'm sorry that you was on hold for 20 minutes but we have recently improved our telephone system that allows our patients to leave the queue, (put the phone down) and they will be automatically called back once a receptionist is available. Please contact the surgery so that we may investigate this.
",1,1,1,1,2,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
60,Cardiology thank you,"I have been under the care of my consultant and the Cardiology dept for the last 4 years, and I wish to thank  everyone, clean, professional, experienced and always treated with respect by the staff, also  importantly the vibe of the dept in particular the Angiocardio ward was one of the friendliest I have encountered everyone a team player. Thank you all very very much for your care delivered with dignity and respect in a very stressful environment.","Thank you for the feedback which I shall pass on (I also agree they are super friendly!)
Best wishes - Patient Experience Team",0,0,0,0,0,,,,,,,,,0,,,,,,,,
50,Worst surgery ever,These doctors lack empathy towards their patients. I have never been to a place where the doctors are so cold and robotic towards you. Worst practice ever!!!,"We are sorry to hear that your experience at our surgery did not meet your expectations, thank you for taking the time to contact us. We have recently undertaken one of our regular communication skills update courses with our clinical staff, and hope that your experience will change in future. We are working closely with our patient panel and would like to meet with you and them together to understand your concerns and work together on areas which have caused you difficulties. Please contact our patient panel if you are happy to meet. Kind regards Dr Joanne Watt Dear Patient We write to you as representatives of the Patients Panel of the Patients Participation Group (PPG) at the Great Oakley Medical Centre. The PPG can be found here: http://www.greatoakleymedicalcentre.co.uk/ppg.aspx. The PPG is run by patients and its mandate is to improve communication with patients. The 'Patients Panel' is a subgroup of the PPG and members of this panel contact patients who have specific issues to report (such as with the NHS Choices postings). We would be happy to initiate a discussion with you on the issues you raised in your posting of the 4th of October 2016, where you mention the surgery is the 'worst practice ever'. Thanks so much for letting us know how we may contact you. Best Regards Patients Panel",1,1,0,0,2,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
12,Staff were rufe,"Anything else?
I visited the minor injuries unit on advice from my GP. I hurt the heel of my foot in a fall and hadn't been able to walk on it for five days at this point. I had tried to let it heal first with rest and anti-inflammatory medicine as I didn't want to go to the hospital, but it was only getting worse.   I don't mind waiting as it's uncontrollable but rude staff is another issue. I was assessed by a nurse first who I felt wasn't listening to what I was telling her. She had automatically assumed that I thought my foot was broken, which I knew wasn't.   I then was shoved in to get an xray and once the nurse finished I was told to wait on the table. A few minutes later another nurse came in barking at me to get out and wait in the hall.   I could then hear a nurse talking about me to another nurse. This nurse then took me to a desk to tell me what I already knew, that in fact my bone was not broken and it was more than likely a sprain. She told me to ice and rest it (which is what I had been doing for the past five days). I told her that due to the location of my work it was impossible for me to rest it and that it's painful to walk on. She didn't listen to me but instead told me 'that life must go on' and that was that.  I can honestly say I burst in to tears when I left because she had been to horrible to me, not at all empathetic or understanding. I felt that the staff had no respect for me and no interest in helping me. If they had I now would not have a sore ankle or knee on my other leg from supporting my weight incorrectly.   I do not pay taxes for poor care or be treated with such little respect.","We were very sorry to read these comments, and wish to express our sincere apologies to this person.    Rudeness is never acceptable, so that we are at a loss to explain why this patient had such a negative experience of our service.    As the comments are anonymous, and make no reference to the date of attendance, we are unable to investigate this further. However, the Minor Injuries staff have been made aware of this review and it is hoped they will be more mindful of the feelings of others in future.    As a rule, we endeavour to treat our visitors with kindness and respect, tailoring our care to the needs of the individual. I am sorry to hear that we fell so short of the mark on this occasion.",1,1,1,1,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
